"","Date","unemployment"
"1",2000-01-01,6.8
"2",2000-02-01,6.9
"3",2000-03-01,6.9
"4",2000-04-01,6.7
"5",2000-05-01,6.6
"6",2000-06-01,6.7
"7",2000-07-01,6.8
"8",2000-08-01,7
"9",2000-09-01,6.9
"10",2000-10-01,7
"11",2000-11-01,6.9
"12",2000-12-01,6.8
"13",2001-01-01,6.9
"14",2001-02-01,7
"15",2001-03-01,7.1
"16",2001-04-01,7.1
"17",2001-05-01,7
"18",2001-06-01,7.2
"19",2001-07-01,7.1
"20",2001-08-01,7.2
"21",2001-09-01,7.2
"22",2001-10-01,7.3
"23",2001-11-01,7.5
"24",2001-12-01,8.1
"25",2002-01-01,8
"26",2002-02-01,7.9
"27",2002-03-01,7.9
"28",2002-04-01,7.7
"29",2002-05-01,7.8
"30",2002-06-01,7.6
"31",2002-07-01,7.6
"32",2002-08-01,7.4
"33",2002-09-01,7.6
"34",2002-10-01,7.6
"35",2002-11-01,7.5
"36",2002-12-01,7.6
"37",2003-01-01,7.5
"38",2003-02-01,7.5
"39",2003-03-01,7.4
"40",2003-04-01,7.6
"41",2003-05-01,7.8
"42",2003-06-01,7.6
"43",2003-07-01,7.7
"44",2003-08-01,7.8
"45",2003-09-01,7.9
"46",2003-10-01,7.6
"47",2003-11-01,7.4
"48",2003-12-01,7.3
"49",2004-01-01,7.3
"50",2004-02-01,7.3
"51",2004-03-01,7.3
"52",2004-04-01,7.2
"53",2004-05-01,7.1
"54",2004-06-01,7.2
"55",2004-07-01,7.1
"56",2004-08-01,7
"57",2004-09-01,6.9
"58",2004-10-01,7.1
"59",2004-11-01,7.2
"60",2004-12-01,7.1
"61",2005-01-01,6.9
"62",2005-02-01,7
"63",2005-03-01,6.9
"64",2005-04-01,6.7
"65",2005-05-01,7
"66",2005-06-01,6.8
"67",2005-07-01,6.7
"68",2005-08-01,6.7
"69",2005-09-01,6.7
"70",2005-10-01,6.7
"71",2005-11-01,6.3
"72",2005-12-01,6.6
"73",2006-01-01,6.7
"74",2006-02-01,6.6
"75",2006-03-01,6.5
"76",2006-04-01,6.5
"77",2006-05-01,6.2
"78",2006-06-01,6.3
"79",2006-07-01,6.5
"80",2006-08-01,6.5
"81",2006-09-01,6.5
"82",2006-10-01,6.3
"83",2006-11-01,6.5
"84",2006-12-01,6.3
"85",2007-01-01,6.4
"86",2007-02-01,6.3
"87",2007-03-01,6.3
"88",2007-04-01,6.3
"89",2007-05-01,6.2
"90",2007-06-01,6.1
"91",2007-07-01,6
"92",2007-08-01,6
"93",2007-09-01,6
"94",2007-10-01,6
"95",2007-11-01,6.1
"96",2007-12-01,6.2
"97",2008-01-01,6.1
"98",2008-02-01,6.1
"99",2008-03-01,6.2
"100",2008-04-01,6.2
"101",2008-05-01,6.2
"102",2008-06-01,6.1
"103",2008-07-01,6.2
"104",2008-08-01,6.2
"105",2008-09-01,6.3
"106",2008-10-01,6.4
"107",2008-11-01,6.7
"108",2008-12-01,7
"109",2009-01-01,7.5
"110",2009-02-01,8.1
"111",2009-03-01,8.3
"112",2009-04-01,8.4
"113",2009-05-01,8.6
"114",2009-06-01,8.8
"115",2009-07-01,8.8
"116",2009-08-01,8.8
"117",2009-09-01,8.5
"118",2009-10-01,8.5
"119",2009-11-01,8.6
"120",2009-12-01,8.6
"121",2010-01-01,8.4
"122",2010-02-01,8.4
"123",2010-03-01,8.3
"124",2010-04-01,8.2
"125",2010-05-01,8.1
"126",2010-06-01,8
"127",2010-07-01,8.2
"128",2010-08-01,8.2
"129",2010-09-01,8.2
"130",2010-10-01,8.1
"131",2010-11-01,7.8
"132",2010-12-01,7.8
"133",2011-01-01,7.8
"134",2011-02-01,7.8
"135",2011-03-01,7.8
"136",2011-04-01,7.8
"137",2011-05-01,7.7
"138",2011-06-01,7.7
"139",2011-07-01,7.4
"140",2011-08-01,7.4
"141",2011-09-01,7.4
"142",2011-10-01,7.5
"143",2011-11-01,7.6
"144",2011-12-01,7.5
"145",2012-01-01,7.7
"146",2012-02-01,7.6
"147",2012-03-01,7.3
"148",2012-04-01,7.4
"149",2012-05-01,7.5
"150",2012-06-01,7.4
"151",2012-07-01,7.3
"152",2012-08-01,7.4
"153",2012-09-01,7.4
"154",2012-10-01,7.4
"155",2012-11-01,7.3
"156",2012-12-01,7.2
"157",2013-01-01,7.1
"158",2013-02-01,7
"159",2013-03-01,7.3
"160",2013-04-01,7.2
"161",2013-05-01,7
"162",2013-06-01,7.2
"163",2013-07-01,7.3
"164",2013-08-01,7.2
"165",2013-09-01,7.1
"166",2013-10-01,7.2
"167",2013-11-01,7.1
"168",2013-12-01,7.4
"169",2014-01-01,7.2
"170",2014-02-01,7.2
"171",2014-03-01,7.1
"172",2014-04-01,7.1
"173",2014-05-01,7.3
"174",2014-06-01,7.1
"175",2014-07-01,7.1
"176",2014-08-01,7
"177",2014-09-01,7
"178",2014-10-01,6.8
"179",2014-11-01,6.8
"180",2014-12-01,6.7
"181",2015-01-01,6.8
"182",2015-02-01,6.9
"183",2015-03-01,6.8
"184",2015-04-01,6.9
"185",2015-05-01,6.8
"186",2015-06-01,6.9
"187",2015-07-01,6.9
"188",2015-08-01,7
"189",2015-09-01,7.1
"190",2015-10-01,7
"191",2015-11-01,7.1
"192",2015-12-01,7.2
"193",2016-01-01,7.3
"194",2016-02-01,7.3
"195",2016-03-01,7.2
"196",2016-04-01,7.3
"197",2016-05-01,7
"198",2016-06-01,6.9
"199",2016-07-01,6.9
"200",2016-08-01,6.9
"201",2016-09-01,7
"202",2016-10-01,6.9
"203",2016-11-01,6.8
"204",2016-12-01,6.9
"205",2017-01-01,6.8
"206",2017-02-01,6.6
"207",2017-03-01,6.7
"208",2017-04-01,6.5
"209",2017-05-01,6.6
"210",2017-06-01,6.5
"211",2017-07-01,6.3
"212",2017-08-01,6.2
"213",2017-09-01,6.2
"214",2017-10-01,6.4
"215",2017-11-01,6.1
"216",2017-12-01,6
"217",2018-01-01,5.9
"218",2018-02-01,6
"219",2018-03-01,5.8
"220",2018-04-01,5.8
"221",2018-05-01,5.9
"222",2018-06-01,6
"223",2018-07-01,5.9
"224",2018-08-01,6
"225",2018-09-01,5.8
"226",2018-10-01,5.7
"227",2018-11-01,5.7
"228",2018-12-01,5.7
"229",2019-01-01,5.7
"230",2019-02-01,5.8
"231",2019-03-01,5.9
"232",2019-04-01,5.7
"233",2019-05-01,5.4
"234",2019-06-01,5.6
"235",2019-07-01,5.8
"236",2019-08-01,5.8
"237",2019-09-01,5.6
"238",2019-10-01,5.6
"239",2019-11-01,5.9
"240",2019-12-01,5.6
"241",2020-01-01,5.5
"242",2020-02-01,5.7
"243",2020-03-01,8.4
"244",2020-04-01,13.6
"245",2020-05-01,14.1
"246",2020-06-01,12.4
"247",2020-07-01,11
"248",2020-08-01,10.2
"249",2020-09-01,9.2
"250",2020-10-01,9
"251",2020-11-01,8.7
"252",2020-12-01,8.9
"253",2021-01-01,9.2
"254",2021-02-01,8.5
"255",2021-03-01,7.7
"256",2021-04-01,8.2
"257",2021-05-01,8.3
"258",2021-06-01,7.9
"259",2021-07-01,7.4
"260",2021-08-01,7.1
"261",2021-09-01,7
"262",2021-10-01,6.5
"263",2021-11-01,6.1
"264",2021-12-01,5.9
"265",2022-01-01,6.5
"266",2022-02-01,5.5
"267",2022-03-01,5.4
"268",2022-04-01,5.3
"269",2022-05-01,5.2
"270",2022-06-01,5
"271",2022-07-01,4.8
"272",2022-08-01,5.2
"273",2022-09-01,5.1
"274",2022-10-01,5.1
"275",2022-11-01,5.1
"276",2022-12-01,5
"277",2023-01-01,5
"278",2023-02-01,5.1
"279",2023-03-01,5.1
"280",2023-04-01,5.1
"281",2023-05-01,5.3
"282",2023-06-01,5.4
"283",2023-07-01,5.5
"284",2023-08-01,5.5
"285",2023-09-01,5.6
"286",2023-10-01,5.7
"287",2023-11-01,5.8
"288",2023-12-01,5.8
"289",2024-01-01,5.7
"290",2024-02-01,5.8
"291",2024-03-01,6.1
"292",2024-04-01,6.1
"293",2024-05-01,6.2
"294",2024-06-01,6.4
"295",2024-07-01,6.4
"296",2024-08-01,6.6
"297",2024-09-01,6.5
