"","Date","wages"
"1",2001-01-01,756.83
"2",2001-02-01,760.07
"3",2001-03-01,762.47
"4",2001-04-01,765.75
"5",2001-05-01,766.51
"6",2001-06-01,763.6
"7",2001-07-01,759.54
"8",2001-08-01,762.65
"9",2001-09-01,763.23
"10",2001-10-01,765.11
"11",2001-11-01,771.17
"12",2001-12-01,777.15
"13",2002-01-01,780.32
"14",2002-02-01,781.38
"15",2002-03-01,785.92
"16",2002-04-01,786.7
"17",2002-05-01,782.72
"18",2002-06-01,784.17
"19",2002-07-01,781.76
"20",2002-08-01,785.89
"21",2002-09-01,787.19
"22",2002-10-01,786.9
"23",2002-11-01,791.78
"24",2002-12-01,790.3
"25",2003-01-01,796.54
"26",2003-02-01,800.59
"27",2003-03-01,795.91
"28",2003-04-01,796.93
"29",2003-05-01,798.66
"30",2003-06-01,793.92
"31",2003-07-01,797.84
"32",2003-08-01,800.14
"33",2003-09-01,805.72
"34",2003-10-01,805.83
"35",2003-11-01,808.99
"36",2003-12-01,810.98
"37",2004-01-01,816.92
"38",2004-02-01,816.17
"39",2004-03-01,817.92
"40",2004-04-01,819.05
"41",2004-05-01,819.32
"42",2004-06-01,818.54
"43",2004-07-01,818.06
"44",2004-08-01,816.49
"45",2004-09-01,821.39
"46",2004-10-01,824.71
"47",2004-11-01,830.44
"48",2004-12-01,830.58
"49",2005-01-01,840.16
"50",2005-02-01,838.41
"51",2005-03-01,841.1
"52",2005-04-01,842.19
"53",2005-05-01,837.3
"54",2005-06-01,840.94
"55",2005-07-01,843.02
"56",2005-08-01,847.58
"57",2005-09-01,851.31
"58",2005-10-01,856.94
"59",2005-11-01,861
"60",2005-12-01,861
"61",2006-01-01,875.42
"62",2006-02-01,878.25
"63",2006-03-01,887.34
"64",2006-04-01,893.94
"65",2006-05-01,890.71
"66",2006-06-01,890.91
"67",2006-07-01,895.1
"68",2006-08-01,899.84
"69",2006-09-01,899
"70",2006-10-01,907.17
"71",2006-11-01,911.94
"72",2006-12-01,909.41
"73",2007-01-01,912.08
"74",2007-02-01,915.13
"75",2007-03-01,918.08
"76",2007-04-01,918.75
"77",2007-05-01,924.52
"78",2007-06-01,928.69
"79",2007-07-01,933.83
"80",2007-08-01,939.17
"81",2007-09-01,944.18
"82",2007-10-01,946.93
"83",2007-11-01,948.77
"84",2007-12-01,949.45
"85",2008-01-01,949.56
"86",2008-02-01,951.72
"87",2008-03-01,952.98
"88",2008-04-01,957.8
"89",2008-05-01,961.72
"90",2008-06-01,965.65
"91",2008-07-01,965.15
"92",2008-08-01,969.08
"93",2008-09-01,979.91
"94",2008-10-01,980.64
"95",2008-11-01,987.46
"96",2008-12-01,990.26
"97",2009-01-01,996.03
"98",2009-02-01,989.93
"99",2009-03-01,991.1
"100",2009-04-01,992.06
"101",2009-05-01,987.05
"102",2009-06-01,989.34
"103",2009-07-01,987.85
"104",2009-08-01,992.22
"105",2009-09-01,1000.9
"106",2009-10-01,1006.19
"107",2009-11-01,1002.33
"108",2009-12-01,1010.43
"109",2010-01-01,1015.91
"110",2010-02-01,1014.71
"111",2010-03-01,1017.93
"112",2010-04-01,1016.52
"113",2010-05-01,1009.89
"114",2010-06-01,1009.41
"115",2010-07-01,1009.3
"116",2010-08-01,1008.39
"117",2010-09-01,1015.12
"118",2010-10-01,1015.43
"119",2010-11-01,1024.46
"120",2010-12-01,1024.37
"121",2011-01-01,1032.82
"122",2011-02-01,1036.25
"123",2011-03-01,1038.58
"124",2011-04-01,1037.83
"125",2011-05-01,1035.31
"126",2011-06-01,1034.03
"127",2011-07-01,1029.62
"128",2011-08-01,1036.51
"129",2011-09-01,1040.93
"130",2011-10-01,1041.74
"131",2011-11-01,1047.81
"132",2011-12-01,1051.67
"133",2012-01-01,1056.52
"134",2012-02-01,1056.37
"135",2012-03-01,1059.45
"136",2012-04-01,1060.3
"137",2012-05-01,1063.25
"138",2012-06-01,1063.15
"139",2012-07-01,1066.82
"140",2012-08-01,1074.2
"141",2012-09-01,1073.23
"142",2012-10-01,1073.4
"143",2012-11-01,1074.73
"144",2012-12-01,1076.13
"145",2013-01-01,1080.74
"146",2013-02-01,1081.56
"147",2013-03-01,1089.83
"148",2013-04-01,1093.49
"149",2013-05-01,1089.8
"150",2013-06-01,1083.8
"151",2013-07-01,1085.8
"152",2013-08-01,1088.05
"153",2013-09-01,1092.21
"154",2013-10-01,1093.61
"155",2013-11-01,1101.4
"156",2013-12-01,1101.42
"157",2014-01-01,1101.39
"158",2014-02-01,1104.25
"159",2014-03-01,1106.46
"160",2014-04-01,1105.81
"161",2014-05-01,1102.54
"162",2014-06-01,1103.04
"163",2014-07-01,1103.76
"164",2014-08-01,1108.31
"165",2014-09-01,1116.96
"166",2014-10-01,1115.39
"167",2014-11-01,1116.51
"168",2014-12-01,1116.73
"169",2015-01-01,1119.91
"170",2015-02-01,1122.72
"171",2015-03-01,1126.18
"172",2015-04-01,1129.62
"173",2015-05-01,1130.01
"174",2015-06-01,1130.82
"175",2015-07-01,1140.07
"176",2015-08-01,1137.12
"177",2015-09-01,1141.26
"178",2015-10-01,1142.2
"179",2015-11-01,1148.76
"180",2015-12-01,1149.74
"181",2016-01-01,1156.62
"182",2016-02-01,1159.04
"183",2016-03-01,1162.6
"184",2016-04-01,1163
"185",2016-05-01,1152.59
"186",2016-06-01,1151.05
"187",2016-07-01,1153.3
"188",2016-08-01,1155.02
"189",2016-09-01,1155.12
"190",2016-10-01,1158.93
"191",2016-11-01,1164.35
"192",2016-12-01,1164.11
"193",2017-01-01,1164.92
"194",2017-02-01,1169.13
"195",2017-03-01,1175.97
"196",2017-04-01,1168.61
"197",2017-05-01,1166.35
"198",2017-06-01,1167.19
"199",2017-07-01,1175.41
"200",2017-08-01,1181.43
"201",2017-09-01,1177.53
"202",2017-10-01,1182.32
"203",2017-11-01,1188.6
"204",2017-12-01,1191.93
"205",2018-01-01,1197.96
"206",2018-02-01,1199.12
"207",2018-03-01,1200.09
"208",2018-04-01,1197.05
"209",2018-05-01,1199.64
"210",2018-06-01,1198.49
"211",2018-07-01,1196.02
"212",2018-08-01,1194.78
"213",2018-09-01,1200.02
"214",2018-10-01,1202.68
"215",2018-11-01,1208.05
"216",2018-12-01,1207.16
"217",2019-01-01,1214.77
"218",2019-02-01,1221.44
"219",2019-03-01,1217.65
"220",2019-04-01,1218.65
"221",2019-05-01,1220.15
"222",2019-06-01,1233.57
"223",2019-07-01,1231.28
"224",2019-08-01,1231.92
"225",2019-09-01,1236.07
"226",2019-10-01,1240.06
"227",2019-11-01,1237.15
"228",2019-12-01,1236.17
"229",2020-01-01,1249.36
"230",2020-02-01,1257.95
"231",2020-03-01,1278.65
"232",2020-04-01,1311.64
"233",2020-05-01,1310.06
"234",2020-06-01,1299.94
"235",2020-07-01,1301.69
"236",2020-08-01,1299.23
"237",2020-09-01,1294.15
"238",2020-10-01,1301.98
"239",2020-11-01,1292.89
"240",2020-12-01,1295.39
"241",2021-01-01,1313.08
"242",2021-02-01,1307.72
"243",2021-03-01,1307.78
"244",2021-04-01,1320.14
"245",2021-05-01,1314.5
"246",2021-06-01,1315.29
"247",2021-07-01,1326.42
"248",2021-08-01,1332.9
"249",2021-09-01,1334.46
"250",2021-10-01,1331.94
"251",2021-11-01,1339.54
"252",2021-12-01,1346.23
"253",2022-01-01,1360.2
"254",2022-02-01,1359.71
"255",2022-03-01,1361.25
"256",2022-04-01,1369.68
"257",2022-05-01,1371.6
"258",2022-06-01,1382.42
"259",2022-07-01,1382.98
"260",2022-08-01,1391.66
"261",2022-09-01,1396.26
"262",2022-10-01,1402.89
"263",2022-11-01,1413.29
"264",2022-12-01,1412.32
"265",2023-01-01,1424.16
"266",2023-02-01,1431.92
"267",2023-03-01,1433.41
"268",2023-04-01,1441.95
"269",2023-05-01,1439.1
"270",2023-06-01,1434.58
"271",2023-07-01,1450.31
"272",2023-08-01,1458.63
"273",2023-09-01,1467.36
"274",2023-10-01,1468.16
"275",2023-11-01,1481.51
"276",2023-12-01,1490.16
"277",2024-01-01,1497.53
"278",2024-02-01,1497.73
"279",2024-03-01,1500.62
"280",2024-04-01,1506.5
"281",2024-05-01,1511.01
